locus_tag	operonID	gene
b0281	operon_0154	intF
b4629	operon_0155	ptwF
b4694	operon_0156	yagP
b4695	operon_0156	ykgT
b0283	operon_0156	paoD
b0284	operon_0156	paoC
b0285	operon_0156	paoB
b0286	operon_0156	paoA
b0287	operon_0157	yagU
b0288	operon_0158	ykgJ
b0289	operon_0159	ecpE
b0290	operon_0159	ecpD
b0291	operon_0159	ecpC
b0292	operon_0159	ecpB
b0293	operon_0160	ecpA
b0294	operon_0160	ecpR
b0295	operon_0161	ykgL
b4506	operon_0162	ykgO
b0296	operon_0162	ykgM
b4671	operon_0163	ykgR
b4630	operon_0164	ykgP
b0297	operon_0165	eaeH
b0300	operon_0166	ykgA
b4631	operon_0167	ykgQ
b0301	operon_0168	rclC
b0303	operon_0168	rclB
b0304	operon_0168	rclA
b0305	operon_0169	rclR
b0306	operon_0170	ykgE
b0307	operon_0170	ykgF
b0308	operon_0170	ykgG
b0310	operon_0171	ykgH
b0311	operon_0172	betA
b0312	operon_0172	betB
b0313	operon_0172	betI
b0314	operon_0173	betT
b0315	operon_0174	yahA
b0316	operon_0175	yahB
b0317	operon_0175	yahC
b0318	operon_0176	yahD
b0319	operon_0176	yahE
b0320	operon_0176	yahF
b0321	operon_0176	yahG
b0323	operon_0177	yahI
b0324	operon_0177	yahJ
b0325	operon_0178	yahK
b0326	operon_0179	yahL
b0327	operon_0180	yahM
b0328	operon_0181	yahN
b0329	operon_0182	yahO
b0330	operon_0183	prpR
b0331	operon_0184	prpB
b0333	operon_0185	prpC
b0334	operon_0185	prpD
b0335	operon_0185	prpE
b0336	operon_0186	codB
b0337	operon_0186	codA
b0338	operon_0187	cynR
b0339	operon_0188	cynT
b0340	operon_0188	cynS
b0341	operon_0188	cynX
b0342	operon_0189	lacA
b0343	operon_0189	lacY
b0344	operon_0190	lacZ
b0345	operon_0190	lacI
b0346	operon_0190	mhpR
b0347	operon_0191	mhpA
b0348	operon_0191	mhpB
b0349	operon_0191	mhpC
b0350	operon_0191	mhpD
b0351	operon_0191	mhpF
b0352	operon_0191	mhpE
b0353	operon_0192	mhpT
b0354	operon_0192	yaiL
b0355	operon_0193	frmB
b0356	operon_0193	frmA
b0357	operon_0193	frmR
b0358	operon_0194	yaiO
b4579	operon_0194	yaiX
b0360	operon_0195	insC1
b0363	operon_0196	yaiP
b0364	operon_0196	yaiS
b0365	operon_0197	tauA
b0366	operon_0197	tauB
b0367	operon_0197	tauC
b0368	operon_0197	tauD
b0369	operon_0198	hemB
b0372	operon_0199	insF1
b0373	operon_0199	insE1
b4580	operon_0200	yaiT
b0375	operon_0200	yaiV
b0376	operon_0201	ampH
b0377	operon_0202	sbmA
b0378	operon_0202	yaiW
b0379	operon_0203	yaiY
b0380	operon_0204	yaiZ
b0381	operon_0205	ddlA
b0382	operon_0206	iraP
b0383	operon_0206	phoA
b0384	operon_0207	psiF
b0385	operon_0207	yaiC
b0386	operon_0208	proC
b0387	operon_0209	yaiI
b0388	operon_0210	aroL
b0389	operon_0210	yaiA
b0390	operon_0211	aroM
b0391	operon_0211	yaiE
b0392	operon_0211	ykiA
b0393	operon_0212	rdgC
b0394	operon_0213	mak
b0396	operon_0214	araJ
b0397	operon_0214	sbcC
b0398	operon_0214	sbcD
b0399	operon_0215	phoB
b0400	operon_0215	phoR
b0401	operon_0216	brnQ
b0402	operon_0217	proY
b0403	operon_0218	malZ
b0404	operon_0219	acpH
b0405	operon_0220	queA
b0406	operon_0221	tgt
b0407	operon_0221	yajC
b0408	operon_0221	secD
b0409	operon_0221	secF
b0410	operon_0222	yajD
b0411	operon_0223	tsx
b0412	operon_0224	yajI
b0413	operon_0225	nrdR
b0414	operon_0225	ribD
b0415	operon_0225	ribE
b0416	operon_0225	nusB
b0417	operon_0225	thiL
b0418	operon_0225	pgpA
b0419	operon_0226	yajO
b0420	operon_0227	dxs
b0421	operon_0227	ispA
b0422	operon_0227	xseB
b0423	operon_0228	thiI
b0424	operon_0229	yajL
b0425	operon_0229	panE
b0426	operon_0230	yajQ
b0427	operon_0231	yajR
b0428	operon_0232	cyoE
b0429	operon_0232	cyoD
b0430	operon_0232	cyoC
b0431	operon_0232	cyoB
b0432	operon_0232	cyoA
b0433	operon_0233	ampG
b0434	operon_0233	yajG
b0435	operon_0234	bolA
b0436	operon_0235	tig
b0437	operon_0236	clpP
b0438	operon_0236	clpX
b0439	operon_0237	lon
b0440	operon_0238	hupB
b0441	operon_0239	ppiD
b0442	operon_0240	ybaV
b0443	operon_0241	fadM
b0444	operon_0242	queC
b0445	operon_0243	ybaE
b0446	operon_0244	cof
b0447	operon_0245	ybaO
b0448	operon_0245	mdlA
b0449	operon_0245	mdlB
b0450	operon_0246	glnK
b0451	operon_0246	amtB
b0452	operon_0247	tesB
b0453	operon_0248	ybaY
b0454	operon_0249	ybaZ
b0455	operon_0250	ffs
b0456	operon_0250	ybaA
b0457	operon_0251	ylaB
b0458	operon_0252	ylaC
b0459	operon_0252	maa
b0460	operon_0253	hha
b0461	operon_0253	tomB
b0462	operon_0254	acrB
b0463	operon_0254	acrA
b0464	operon_0255	acrR
b0465	operon_0256	mscK
b0466	operon_0257	ybaM
b0467	operon_0257	priC
b0468	operon_0258	ybaN
b0469	operon_0259	apt
b0470	operon_0260	dnaX
b0471	operon_0261	ybaB
b0472	operon_0261	recR
b0473	operon_0262	htpG
b0474	operon_0263	adk
b0475	operon_0264	hemH
b0476	operon_0265	aes
b0477	operon_0266	gsk
b0478	operon_0267	ybaL
b0479	operon_0268	fsr
b0480	operon_0269	ushA
b0481	operon_0270	ybaK
b4585	operon_0271	chiX
b0482	operon_0272	ybaP
b0483	operon_0273	ybaQ
b0484	operon_0274	copA
b0485	operon_0275	glsA
b0486	operon_0275	ybaT
b0487	operon_0275	cueR
b0488	operon_0276	ybbJ
b0489	operon_0276	qmcA
b0490	operon_0277	fetA
b0491	operon_0277	fetB
b0492	operon_0278	ybbN
b0493	operon_0278	ybbO
b0494	operon_0278	tesA
b0495	operon_0279	ybbA
b0496	operon_0279	ybbP
b0497	operon_0280	rhsD
b0498	operon_0280	ybbC
b0499	operon_0280	rhsH
b0501	operon_0280	ybbD
b4632	operon_0281	ylbI
b0502	operon_0282	ylbG
b0503	operon_0282	mnmH
b0504	operon_0282	allS
b0505	operon_0283	allA
b0506	operon_0283	allR
b0507	operon_0284	gcl
b0508	operon_0284	hyi
b0509	operon_0284	glxR
b0511	operon_0285	ybbW
b0512	operon_0285	allB
b0513	operon_0286	ybbY
b0514	operon_0286	glxK
b0515	operon_0287	allE
b0516	operon_0287	allC
b0517	operon_0287	allD
b0518	operon_0288	fdrA
b4572	operon_0288	ylbE
b0520	operon_0288	ylbF
b0521	operon_0288	ybcF
b0522	operon_0289	purK
b0523	operon_0289	purE
b0524	operon_0289	lpxH
b0525	operon_0289	ppiB
b0526	operon_0290	cysS
b0527	operon_0291	ybcI
b0528	operon_0292	ybcJ
b0529	operon_0292	folD
b0530	operon_0293	sfmA
b0531	operon_0294	sfmC
b0532	operon_0294	sfmD
b0533	operon_0294	sfmH
b0534	operon_0294	sfmF
b0535	operon_0295	sfmZ
b0536	operon_0296	argU
b0537	operon_0297	intD
b4633	operon_0297	xisD
b0539	operon_0297	exoD
b4508	operon_0298	peaD
b0542	operon_0299	renD
b0543	operon_0299	emrE
b0544	operon_0300	ybcK
b0545	operon_0301	ybcL
b0546	operon_0301	ybcM
b4588	operon_0302	ylcH
b0547	operon_0302	ybcN
b0548	operon_0302	ninE
b0549	operon_0302	ybcO
b0550	operon_0302	rusA
b4509	operon_0302	ylcG
b0551	operon_0302	quuD
b0553	operon_0303	nmpC
b0554	operon_0304	essD
b0555	operon_0304	rrrD
b0556	operon_0304	rzpD
b4510	operon_0304	rzoD
b0557	operon_0305	borD
b0558	operon_0306	ybcV
b0559	operon_0307	ybcW
b4589	operon_0308	ylcI
b0560	operon_0309	nohD
b4634	operon_0309	aaaD
b0561	operon_0309	tfaD
b0562	operon_0310	ybcY
b0563	operon_0311	tfaX
b0564	operon_0312	appY
b0565	operon_0313	ompT
b4635	operon_0314	pauD
b0566	operon_0315	envY
b0567	operon_0316	ybcH
b0568	operon_0316	nfrA
b0569	operon_0316	nfrB
b0570	operon_0316	cusS
b0571	operon_0316	cusR
b0572	operon_0317	cusC
b0573	operon_0318	cusF
b0574	operon_0318	cusB
b0575	operon_0318	cusA
b0576	operon_0318	pheP
b0577	operon_0319	ybdG
b0578	operon_0320	nfsB
b0579	operon_0320	ybdF
b0580	operon_0320	ybdJ
b0581	operon_0320	ybdK
b4700	operon_0321	sokE
b4415	operon_0321	hokE
b0583	operon_0322	entD
b0584	operon_0323	fepA
b0585	operon_0324	fes
b4511	operon_0324	ybdZ
b0586	operon_0324	entF
b0587	operon_0325	fepE
b0588	operon_0326	fepC
b0589	operon_0326	fepG
b0590	operon_0326	fepD
b0591	operon_0327	entS
b0592	operon_0328	fepB
b0593	operon_0329	entC
b0594	operon_0329	entE
b0595	operon_0329	entB
b0596	operon_0329	entA
b0597	operon_0329	entH
b0598	operon_0330	cstA
b4512	operon_0331	ybdD
b0599	operon_0332	ybdH
b0600	operon_0333	ybdL
b0601	operon_0334	ybdM
b0602	operon_0334	ybdN
b0603	operon_0334	ybdO
b0604	operon_0335	dsbG
b0605	operon_0336	ahpC
b0606	operon_0337	ahpF
b0607	operon_0338	uspG
b0608	operon_0339	ybdR
b0610	operon_0340	rnk
b0611	operon_0341	rna
b0612	operon_0342	citT
b0613	operon_0342	citG
b0614	operon_0342	citX
b0615	operon_0342	citF
b0616	operon_0342	citE
b0617	operon_0342	citD
b0618	operon_0342	citC
b0619	operon_0343	citA
b0620	operon_0343	citB
b0621	operon_0344	dcuC
b0622	operon_0345	pagP
b0623	operon_0346	cspE
b0624	operon_0347	flc
b4581	operon_0348	ybeM
b0627	operon_0348	tatE
b0628	operon_0349	lipA
b0629	operon_0350	ybeF
b0630	operon_0351	lipB
b0631	operon_0351	ybeD
b0632	operon_0352	dacA
b0633	operon_0352	rlpA
b0634	operon_0352	mrdB
b0635	operon_0352	mrdA
b0636	operon_0353	rlmH
b0637	operon_0353	rsfS
b0638	operon_0354	cobC
b0639	operon_0354	nadD
b0640	operon_0354	holA
b0641	operon_0354	lptE
b0642	operon_0354	leuS
b0643	operon_0355	ybeL
b0644	operon_0356	ybeQ
b0645	operon_0357	ybeR
b0646	operon_0357	djlB
b0647	operon_0358	ybeT
b0648	operon_0359	ybeU
b0649	operon_0359	djlC
b0650	operon_0360	hscC
b0651	operon_0361	rihA
b0652	operon_0361	gltL
b0653	operon_0361	gltK
b0654	operon_0361	gltJ
b0655	operon_0362	gltI
b0657	operon_0363	lnt
b0658	operon_0363	ybeX
b0659	operon_0364	ybeY
b0660	operon_0364	ybeZ
b0661	operon_0365	miaB
b0662	operon_0366	ubiF
b0664	operon_0367	glnX
b0665	operon_0367	glnV
b0666	operon_0367	metU
b0668	operon_0367	glnW
b0670	operon_0367	glnU
b0672	operon_0367	leuW
b0673	operon_0367	metT
b0674	operon_0368	asnB
b0675	operon_0369	umpH
b0676	operon_0369	nagC
b0677	operon_0369	nagA
b0678	operon_0370	nagB
b0679	operon_0371	nagE
b0680	operon_0372	glnS
b0681	operon_0373	chiP
b0682	operon_0373	chiQ
b0683	operon_0374	fur
b4637	operon_0374	uof
b0684	operon_0375	fldA
b0685	operon_0375	ybfE
b0686	operon_0375	ybfF
b0687	operon_0376	seqA
b0688	operon_0376	pgm
b0689	operon_0377	ybfP
b0691	operon_0378	ybfG
b4636	operon_0378	ybfI
b0692	operon_0379	potE
b0693	operon_0379	speF
b4590	operon_0380	ybfK
b0694	operon_0381	kdpE
b0695	operon_0381	kdpD
b0696	operon_0381	kdpC
b0697	operon_0382	kdpB
b0698	operon_0382	kdpA
b4513	operon_0382	kdpF
b0699	operon_0383	ybfA
b0700	operon_0384	rhsC
b0702	operon_0384	ybfB
b0703	operon_0384	rhsO
b0704	operon_0384	ybfC
b4514	operon_0385	ybfQ
b0705	operon_0385	ybfL
b0706	operon_0385	ybfD
b0707	operon_0385	ybgA
b0708	operon_0385	phr
b0709	operon_0386	dtpD
b0710	operon_0387	ybgI
b0711	operon_0387	ybgJ
b0712	operon_0387	ybgK
b0713	operon_0387	ybgL
b0714	operon_0387	nei
b0715	operon_0388	abrB
b0716	operon_0389	ybgO
b0717	operon_0389	ybgP
b0718	operon_0389	ybgQ
b0719	operon_0390	ybgD
b0720	operon_0391	gltA
b0721	operon_0392	sdhC
b0722	operon_0392	sdhD
b0723	operon_0392	sdhA
b0724	operon_0392	sdhB
b0726	operon_0393	sucA
b0727	operon_0393	sucB
b0728	operon_0394	sucC
b0729	operon_0394	sucD
b0730	operon_0395	mngR
b0731	operon_0396	mngA
b0732	operon_0396	mngB
b0733	operon_0397	cydA
b0734	operon_0397	cydB
b4515	operon_0397	cydX
b0735	operon_0397	ybgE
b0736	operon_0397	ybgC
b0737	operon_0397	tolQ
b0738	operon_0397	tolR
b0739	operon_0397	tolA
b0740	operon_0397	tolB
b0741	operon_0397	pal
b0742	operon_0397	ybgF
b0743	operon_0398	lysT
b0744	operon_0398	valT
b0745	operon_0398	lysW
b0746	operon_0398	valZ
b0747	operon_0398	lysY
b0748	operon_0398	lysZ
b0749	operon_0398	lysQ
b0750	operon_0399	nadA
b0751	operon_0399	pnuC
b0752	operon_0400	zitB
b0753	operon_0401	ybgS
b0754	operon_0402	aroG
b0755	operon_0403	gpmA
b0756	operon_0404	galM
b0757	operon_0404	galK
b0758	operon_0404	galT
b0759	operon_0404	galE
b0760	operon_0405	modF
b0761	operon_0405	modE
b0762	operon_0406	acrZ
b0763	operon_0407	modA
b0764	operon_0407	modB
b0765	operon_0407	modC
b0766	operon_0408	ybhA
b0767	operon_0409	pgl
b0768	operon_0410	ybhD
b0769	operon_0411	ybhH
b0770	operon_0411	ybhI
b0771	operon_0412	ybhJ
b0772	operon_0413	ybhC
b0773	operon_0414	ybhB
b0774	operon_0414	bioA
b0775	operon_0415	bioB
b0776	operon_0415	bioF
b0777	operon_0415	bioC
b0778	operon_0415	bioD
b0779	operon_0416	uvrB
b0780	operon_0417	ybhK
b0781	operon_0418	moaA
b0782	operon_0418	moaB
b0783	operon_0418	moaC
b0784	operon_0418	moaD
b0785	operon_0418	moaE
b0786	operon_0418	ybhL
b0787	operon_0419	ybhM
b0788	operon_0420	ybhN
b0789	operon_0420	clsB
b0790	operon_0420	ybhP
b0791	operon_0421	ybhQ
b0792	operon_0422	ybhR
b0793	operon_0422	ybhS
b0794	operon_0422	ybhF
b0795	operon_0422	ybhG
b0796	operon_0422	ybiH
b0797	operon_0423	rhlE
b0798	operon_0424	ybiA
b0799	operon_0425	dinG
b0800	operon_0426	ybiB
b0801	operon_0427	ybiC
b0802	operon_0428	ybiJ
b0803	operon_0429	ybiI
b0804	operon_0429	ybiX
b0805	operon_0430	fiu
b0806	operon_0431	mcbA
b0807	operon_0432	rlmF
b0808	operon_0433	ybiO
b0809	operon_0434	glnQ
b0810	operon_0434	glnP
b0811	operon_0434	glnH
b0812	operon_0435	dps
b0813	operon_0436	rhtA
b0814	operon_0437	ompX
b0815	operon_0438	ybiP
b4705	operon_0439	mntS
b0817	operon_0440	mntR
b0818	operon_0440	ybiR
b0819	operon_0441	ldtB
b0820	operon_0442	ybiT
b0821	operon_0443	ybiU
b0822	operon_0444	ybiV
b0823	operon_0445	ybiW
b0824	operon_0445	ybiY
b0825	operon_0446	fsaA
b0826	operon_0447	moeB
b0827	operon_0447	moeA
b0828	operon_0448	iaaA
b0829	operon_0448	gsiA
b0830	operon_0448	gsiB
b0831	operon_0448	gsiC
b0832	operon_0448	gsiD
b0833	operon_0449	yliE
b0834	operon_0449	yliF
b0835	operon_0450	rimO
b0836	operon_0451	bssR
b0837	operon_0452	yliI
b0838	operon_0453	gstB
b0839	operon_0454	dacC
b0840	operon_0455	deoR
b0841	operon_0455	ybjG
b0842	operon_0456	mdfA
b0843	operon_0457	ybjH
b0844	operon_0457	ybjI
b0845	operon_0457	ybjJ
b0846	operon_0458	rcdA
b4417	operon_0459	rybB
b0847	operon_0459	ybjL
b0848	operon_0460	ybjM
b0849	operon_0461	grxA
b0850	operon_0462	ybjC
b0851	operon_0462	nfsA
b0852	operon_0462	rimK
b0853	operon_0462	ybjN
b0854	operon_0463	potF
b0855	operon_0463	potG
b0856	operon_0463	potH
b0857	operon_0463	potI
b0858	operon_0464	ybjO
b0859	operon_0464	rlmC
b0860	operon_0465	artJ
b0861	operon_0466	artM
b0862	operon_0466	artQ
b0863	operon_0466	artI
b0864	operon_0466	artP
b0865	operon_0467	ybjP
b0866	operon_0468	ybjQ
b0867	operon_0468	amiD
b0868	operon_0469	ybjS
b0869	operon_0469	ybjT
b0870	operon_0469	ltaE
b0871	operon_0469	poxB
b0872	operon_0470	hcr
b0873	operon_0470	hcp
b0874	operon_0470	ybjE
b0875	operon_0471	aqpZ
b0876	operon_0472	ybjD
b0877	operon_0473	ybjX
b0878	operon_0474	macA
b0879	operon_0474	macB
b0880	operon_0475	cspD
b0881	operon_0476	clpS
b0882	operon_0476	clpA
b0883	operon_0477	serW
b0884	operon_0478	infA
b0885	operon_0479	aat
b0886	operon_0479	cydC
b0887	operon_0479	cydD
b0888	operon_0480	trxB
b0889	operon_0481	lrp
b0890	operon_0482	ftsK
b0891	operon_0483	lolA
b0892	operon_0483	rarA
b0893	operon_0483	serS
b0894	operon_0484	dmsA
b0895	operon_0484	dmsB
b0896	operon_0484	dmsC
b0897	operon_0485	ycaC
b0898	operon_0486	ycaD
b0899	operon_0487	ycaM
b0900	operon_0488	ycaN
b0901	operon_0489	ycaK
b0902	operon_0490	pflA
b0903	operon_0491	pflB
b0904	operon_0491	focA
b0905	operon_0492	ycaO
b0906	operon_0493	ycaP
b0907	operon_0494	serC
b0908	operon_0495	aroA
b0909	operon_0496	ycaL
b0910	operon_0497	cmk
b0911	operon_0497	rpsA
b0912	operon_0498	ihfB
b0913	operon_0499	ycaI
b0914	operon_0499	msbA
b0915	operon_0499	lpxK
b0916	operon_0499	ycaQ
b0917	operon_0499	ycaR
b0918	operon_0499	kdsB
b0919	operon_0500	ycbJ
b0920	operon_0501	ycbC
b0921	operon_0502	smtA
b0922	operon_0502	mukF
b0923	operon_0502	mukE
b0924	operon_0502	mukB
b0925	operon_0503	ldtD
b0926	operon_0504	ycbK
b0927	operon_0504	ycbL
b0928	operon_0505	aspC
b0929	operon_0506	ompF
b0930	operon_0507	asnS
b0931	operon_0508	pncB
b0932	operon_0509	pepN
b0933	operon_0510	ssuB
b0934	operon_0510	ssuC
b0935	operon_0510	ssuD
b0936	operon_0510	ssuA
b0937	operon_0510	ssuE
b0938	operon_0511	elfA
b0939	operon_0512	elfD
b0940	operon_0512	elfC
b0941	operon_0512	elfG
b0942	operon_0512	ycbU
b0943	operon_0512	ycbV
b0944	operon_0512	ycbF
b0945	operon_0512	pyrD
b0946	operon_0513	zapC
b0947	operon_0514	ycbX
b0948	operon_0515	rlmL
b0949	operon_0515	uup
b0950	operon_0515	pqiA
b0951	operon_0515	pqiB
b0952	operon_0515	pqiC
b0953	operon_0516	rmf
b0954	operon_0517	fabA
b0955	operon_0517	ycbZ
b0956	operon_0518	matP
b0957	operon_0519	ompA
b0958	operon_0520	sulA
b0959	operon_0521	sxy
b0960	operon_0522	yccS
b0961	operon_0522	yccF
b0962	operon_0523	helD
b0963	operon_0524	mgsA
b0964	operon_0525	yccT
b0965	operon_0526	yccU
b0966	operon_0527	hspQ
b0967	operon_0527	rlmI
b0968	operon_0528	yccX
b0969	operon_0529	tusE
b0970	operon_0530	yccA
b0971	operon_0531	serT
b0972	operon_0532	hyaA
b0973	operon_0532	hyaB
b0974	operon_0532	hyaC
b0975	operon_0532	hyaD
b0976	operon_0532	hyaE
